Bidang_IT;Posisi_Pekerjaan;Nama_Perusahaan;Lokasi;Gaji;Syarat_Deskripsi_Pekerjaan;Link_Detail;Skill_Python;Skill_SQL;Skill_Javascript;Skill_PHP;Skill_Java_Kotlin;Skill_Excel;Skill_Cloud_AWS_GCP;Skill_Docker_K8s;Skill_Git;Skill_English;Skill_Agile_Scrum;Skill_Networking_Security;Gaji_Clean
Cyber Security;IT Infrastructure;PT Karya Solusi Prima Sejahtera;Central Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92897353?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;IT Support;PT Moda Global Maritim;North Jakarta;IDR Disembunyikan;THR, bonus | BPJS Kesehatan, BPJS Ketenagakerjaan, Health Insurance, Pension Fund | Open book management, training and development;https://id.jobstreet.com/job/92664140?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;
Cyber Security;Satpam;PT Adimitra Sukses;East Ciputat;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92701414?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Technical Engineering;PT ADEMCO SECURITY INDONESIA;Tangerang;IDR Disembunyikan;Competitive Salary | Work-Life Balance | Fun work environment;https://id.jobstreet.com/job/92593724?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;SECURITY;PT Formwell Products;Gunung Putri;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92796354?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;AREA COMMANDER SECURITY;PT Servanda Ventura Swareksa;South Jakarta;Rp 8.000.000 – Rp 12.000.000 per month;Perusahaan Jasa Yang Sedang Berkembang | Jenjang Karir | Klien Kami Perusahaan Besar dan Ternama;https://id.jobstreet.com/job/92695867?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;10000000.0
Cyber Security;Security (Satpam);PT Sumber Tirta Sentosa (Distributor Minuman);Bekasi;IDR Disembunyikan;Status Karyawan : Karyawan Tetap | Gaji UMR | BPJS Tenaga Kerja & BPJS Kesehatan;https://id.jobstreet.com/job/93108530?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;
Cyber Security;IT Operations Role;TITANICOM TECH LIMITED;West Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93061756?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;CHIEF SECURITY;PT Sinar Jernih Suksesindo;South Jakarta;Rp 9.000.000 – Rp 13.500.000 per month;Lihat detail pada link.;https://id.jobstreet.com/job/92637447?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;11250000.0
Cyber Security;IT Executive;PT Inti Mitbana Development;Central Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93027858?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;IT Staff;Perusahaan Rahasia;Bekasi;Rp 6.000.000 – Rp 7.000.000 per month;Bpjs Kesehatan/ BPJSTK | Bonus Tahunan (jika ada) | Kegiatan Outing (jika ada);https://id.jobstreet.com/job/93056714?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;6500000.0
Cyber Security;IT INFRASTRUCTURE & SYSTEM ADMINISTRATOR  DEPT. HEAD;PT Surganya Motor Indonesia (PLANET BAN);Depok;IDR Disembunyikan;IT Infrastructure & Security | Security network;https://id.jobstreet.com/job/93060778?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;1;
Cyber Security;Management Information System (MIS) Support Staff;PT Mobil Anak Bangsa;Central Jakarta;IDR Disembunyikan;Hands-on IT Support & Troubleshooting | Strong Network & Infrastructure Knowledge | Reliable Operational Support;https://id.jobstreet.com/job/93086681?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;1;
Cyber Security;IT STAFF;PT Port Avant Logistics;West Jakarta;Rp 6.000.000 – Rp 6.500.000 per month;Lihat detail pada link.;https://id.jobstreet.com/job/92892618?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;6250000.0
